#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/fb),recorded(/fb),avgpu,source
366727:8675,1:1,04/27/23 22:14:39,STABLE BEAMS,6800,0.000036675,0.000036021,28.1,BCM1FUTCA
366727:8675,2:2,04/27/23 22:15:02,STABLE BEAMS,6800,0.000036656,0.000036091,28.1,BCM1FUTCA
366727:8675,3:3,04/27/23 22:15:25,STABLE BEAMS,6800,0.000036636,0.000036072,28.1,BCM1FUTCA
366727:8675,4:4,04/27/23 22:15:49,STABLE BEAMS,6800,0.000036608,0.000035798,28.1,BCM1FUTCA
366727:8675,5:5,04/27/23 22:16:12,STABLE BEAMS,6800,0.000037439,0.000036603,28.7,BCM1FUTCA
366727:8675,6:6,04/27/23 22:16:35,STABLE BEAMS,6800,0.000038222,0.000037358,29.3,BCM1FUTCA
366727:8675,7:7,04/27/23 22:16:59,STABLE BEAMS,6800,0.000038188,0.000037329,29.3,BCM1FUTCA
366727:8675,8:8,04/27/23 22:17:22,STABLE BEAMS,6800,0.000038167,0.000037284,29.3,BCM1FUTCA
366727:8675,9:9,04/27/23 22:17:45,STABLE BEAMS,6800,0.000038123,0.000037239,29.2,BCM1FUTCA
366727:8675,10:10,04/27/23 22:18:09,STABLE BEAMS,6800,0.000038060,0.000037179,29.2,BCM1FUTCA
366727:8675,11:11,04/27/23 22:18:32,STABLE BEAMS,6800,0.000038040,0.000037159,29.2,BCM1FUTCA
366727:8675,12:12,04/27/23 22:18:55,STABLE BEAMS,6800,0.000038013,0.000037132,29.1,BCM1FUTCA
366727:8675,13:13,04/27/23 22:19:19,STABLE BEAMS,6800,0.000037972,0.000037092,29.1,BCM1FUTCA
366727:8675,14:14,04/27/23 22:19:42,STABLE BEAMS,6800,0.000037923,0.000037045,29.1,BCM1FUTCA
366727:8675,15:15,04/27/23 22:20:05,STABLE BEAMS,6800,0.000037918,0.000037039,29.1,BCM1FUTCA
366727:8675,16:16,04/27/23 22:20:28,STABLE BEAMS,6800,0.000037898,0.000037022,29.1,BCM1FUTCA
366727:8675,17:17,04/27/23 22:20:52,STABLE BEAMS,6800,0.000038117,0.000037233,29.2,BCM1FUTCA
366727:8675,18:18,04/27/23 22:21:15,STABLE BEAMS,6800,0.000039700,0.000038764,30.4,BCM1FUTCA
366727:8675,19:19,04/27/23 22:21:38,STABLE BEAMS,6800,0.000039997,0.000039050,30.7,BCM1FUTCA
366727:8675,20:20,04/27/23 22:22:02,STABLE BEAMS,6800,0.000039950,0.000039000,30.6,BCM1FUTCA
366727:8675,21:21,04/27/23 22:22:25,STABLE BEAMS,6800,0.000039908,0.000038934,30.6,BCM1FUTCA
366727:8675,22:22,04/27/23 22:22:48,STABLE BEAMS,6800,0.000039880,0.000038838,30.6,BCM1FUTCA
366727:8675,23:23,04/27/23 22:23:12,STABLE BEAMS,6800,0.000039928,0.000038985,30.6,BCM1FUTCA
366727:8675,24:24,04/27/23 22:23:35,STABLE BEAMS,6800,0.000041370,0.000040376,31.7,BCM1FUTCA
366727:8675,25:25,04/27/23 22:23:58,STABLE BEAMS,6800,0.000042122,0.000041087,32.3,BCM1FUTCA
366727:8675,26:26,04/27/23 22:24:22,STABLE BEAMS,6800,0.000042104,0.000041082,32.3,BCM1FUTCA
366727:8675,27:27,04/27/23 22:24:45,STABLE BEAMS,6800,0.000042074,0.000041052,32.3,BCM1FUTCA
366727:8675,28:28,04/27/23 22:25:08,STABLE BEAMS,6800,0.000042052,0.000041033,32.2,BCM1FUTCA
366727:8675,29:29,04/27/23 22:25:32,STABLE BEAMS,6800,0.000041991,0.000040879,32.2,BCM1FUTCA
366727:8675,30:30,04/27/23 22:25:55,STABLE BEAMS,6800,0.000042974,0.000041547,33.0,BCM1FUTCA
366727:8675,31:31,04/27/23 22:26:18,STABLE BEAMS,6800,0.000044297,0.000042779,34.0,BCM1FUTCA
366727:8675,32:32,04/27/23 22:26:41,STABLE BEAMS,6800,0.000044275,0.000042764,33.9,BCM1FUTCA
366727:8675,33:33,04/27/23 22:27:05,STABLE BEAMS,6800,0.000044246,0.000042732,33.9,BCM1FUTCA
366727:8675,34:34,04/27/23 22:27:28,STABLE BEAMS,6800,0.000044208,0.000042698,33.9,BCM1FUTCA
366727:8675,35:35,04/27/23 22:27:51,STABLE BEAMS,6800,0.000044183,0.000042677,33.9,BCM1FUTCA
366727:8675,36:36,04/27/23 22:28:15,STABLE BEAMS,6800,0.000044709,0.000043169,34.3,BCM1FUTCA
366727:8675,37:37,04/27/23 22:28:38,STABLE BEAMS,6800,0.000046224,0.000044575,35.4,BCM1FUTCA
366727:8675,38:38,04/27/23 22:29:01,STABLE BEAMS,6800,0.000046231,0.000044568,35.4,BCM1FUTCA
366727:8675,39:39,04/27/23 22:29:25,STABLE BEAMS,6800,0.000046205,0.000044500,35.4,BCM1FUTCA
366727:8675,40:40,04/27/23 22:29:48,STABLE BEAMS,6800,0.000046188,0.000044550,35.4,BCM1FUTCA
366727:8675,41:41,04/27/23 22:30:11,STABLE BEAMS,6800,0.000046165,0.000044528,35.4,BCM1FUTCA
366727:8675,42:42,04/27/23 22:30:35,STABLE BEAMS,6800,0.000046416,0.000044536,35.6,BCM1FUTCA
366727:8675,43:43,04/27/23 22:30:58,STABLE BEAMS,6800,0.000048149,0.000046375,36.9,BCM1FUTCA
366727:8675,44:44,04/27/23 22:31:21,STABLE BEAMS,6800,0.000048261,0.000046441,37.0,BCM1FUTCA
